City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,simao,22.7886,100.9748,9.41,51,78,0.68,CN,2023-02-05
279,moreira sales,-24.0622,-53.0069,22.01,69,46,1.25,BR,2023-02-05
280,tenali,16.2425,80.6398,19.02,93,80,1.61,IN,2023-02-05
281,hayden,47.766,-116.7866,3.41,96,100,4.12,US,2023-02-05
282,okha,53.5739,142.9478,-18.25,94,100,4.9,RU,2023-02-05
283,menongue,-14.6585,17.691,15.84,92,100,1.12,AO,2023-02-05
284,geraldton,-28.7667,114.6,23.23,73,100,5.14,AU,2023-02-05
285,tabuk,17.4189,121.4443,22.47,83,72,1.52,PH,2023-02-05
286,sumbe,-11.2061,13.8437,24.97,81,46,2.15,AO,2023-02-05
287,kiunga,-6.1219,141.2906,24.23,97,99,1.25,PG,2023-02-05
288,mana,5.6592,-53.7767,24.1,89,100,5.5,GF,2023-02-05
289,iqaluit,63.7506,-68.5145,-27.95,68,75,6.71,CA,2023-02-05
290,ananas,19.2466,-71.9557,22.7,69,88,0.99,HT,2023-02-05
291,zhangye,38.9342,100.4517,-4.49,41,8,0.9,CN,2023-02-05
292,touros,-5.1989,-35.4608,26.71,76,68,5.05,BR,2023-02-05
293,xingyi,24.1877,102.817,6.48,55,39,1.8,CN,2023-02-05
294,hohhot,40.8106,111.6522,-12.84,72,0,2.0,CN,2023-02-05
295,keflavik,64.0049,-22.5624,3.95,65,75,18.52,IS,2023-02-05
296,dharchula,29.85,80.5333,8.76,28,0,3.45,IN,2023-02-05
297,ahipara,-35.1667,173.1667,19.86,94,95,3.3,NZ,2023-02-05
298,zemio,5.0314,25.1361,22.08,22,42,1.61,CF,2023-02-05
299,korla,41.7597,86.1469,-3.03,71,3,1.31,CN,2023-02-05
300,canto do buriti,-8.11,-42.9444,28.81,41,100,1.32,BR,2023-02-05
301,lasa,46.6166,10.7002,1.49,92,56,2.61,IT,2023-02-05
302,joshimath,30.5667,79.5667,2.92,42,0,4.09,IN,2023-02-05
303,coalville,52.7167,-1.3667,0.52,85,0,3.09,GB,2023-02-05
304,souillac,-20.5167,57.5167,26.21,89,75,2.57,MU,2023-02-05
305,saint-prosper,46.2117,-70.4811,-0.16,97,100,1.79,CA,2023-02-05
306,shizunai,42.3339,142.3669,1.67,68,96,6.28,JP,2023-02-05
307,kondopoga,62.2057,34.2614,-6.18,96,99,2.01,RU,2023-02-05
308,klyuchi,52.2667,79.1667,-9.78,96,100,2.0,RU,2023-02-05
309,margate,51.3813,1.3862,5.39,87,75,1.79,GB,2023-02-05
310,aitape,-3.1374,142.3475,25.07,90,100,2.88,PG,2023-02-05
311,mayo,38.8876,-76.5119,10.49,68,0,4.63,US,2023-02-05
312,chuy,-33.6971,-53.4616,19.33,79,0,3.04,UY,2023-02-05
313,ketchikan,55.3422,-131.6461,2.99,93,100,3.6,US,2023-02-05
314,fukue,32.6881,128.8419,9.2,71,0,1.54,JP,2023-02-05
315,gat,31.61,34.7642,13.55,4,80,6.41,IL,2023-02-05
316,broken hill,-31.95,141.4333,25.57,28,0,5.86,AU,2023-02-05
317,halifax,44.6453,-63.5724,5.25,91,100,10.29,CA,2023-02-05
318,toledo,39.8333,-4.0,7.4,49,0,1.69,ES,2023-02-05
319,bose,45.4612,8.0137,3.69,94,100,2.35,IT,2023-02-05
320,helong,42.5397,128.9972,-7.52,85,63,1.4,CN,2023-02-05
321,solnechnyy,50.7214,136.6319,-19.53,96,58,0.72,RU,2023-02-05
322,ensley,30.5188,-87.2728,18.16,84,20,2.06,US,2023-02-05
323,leningradskiy,69.3833,178.4167,-29.57,98,100,1.89,RU,2023-02-05
324,mecca,21.4267,39.8261,20.41,68,19,0.85,SA,2023-02-05
325,sao filipe,14.8961,-24.4956,21.14,62,96,6.98,CV,2023-02-05
326,santa rosa,14.3122,121.1114,26.72,83,87,3.29,PH,2023-02-05
327,okhotsk,59.3833,143.3,-25.28,81,98,5.01,RU,2023-02-05
328,vila velha,-20.3297,-40.2925,27.19,84,20,3.6,BR,2023-02-05
329,sidney,-33.8679,151.2073,27.95,67,75,3.13,AU,2023-02-05
330,quatre cocos,-20.2078,57.7625,26.06,83,68,4.86,MU,2023-02-05
331,miandrivazo,-19.5167,45.4667,24.64,83,100,0.96,MG,2023-02-05
332,hualmay,-11.0964,-77.6139,23.23,77,49,2.87,PE,2023-02-05
333,wajima,37.4,136.9,4.38,93,40,3.09,JP,2023-02-05
334,bagdarin,54.4333,113.6,-25.16,94,76,1.87,RU,2023-02-05
335,nishihara,26.1842,127.7558,18.6,97,100,4.12,JP,2023-02-05
336,belawan,3.7755,98.6832,24.16,89,100,2.12,ID,2023-02-05
337,taldan,53.6667,124.8,-25.42,99,98,0.61,RU,2023-02-05
338,dubuque,42.4833,-90.8668,1.33,69,0,2.06,US,2023-02-05
339,waingapu,-9.6567,120.2641,25.94,89,100,6.55,ID,2023-02-05
340,bereda,43.2686,-7.5406,2.86,100,32,2.55,ES,2023-02-05
341,necochea,-38.5473,-58.7368,23.47,48,65,2.84,AR,2023-02-05
342,kaitangata,-46.2817,169.8464,19.24,58,69,8.05,NZ,2023-02-05
343,sandomierz,50.6827,21.749,-7.74,93,67,2.8,PL,2023-02-05
344,denpasar,-8.65,115.2167,24.84,100,75,10.8,ID,2023-02-05
345,beringovskiy,63.05,179.3167,-27.58,92,98,5.28,RU,2023-02-05
346,norsup,-16.0667,167.3833,29.63,73,100,6.74,VU,2023-02-05
347,yumen,40.2833,97.2,-3.48,39,77,2.46,CN,2023-02-05
